CPTCode,ShortDescription
50961,Ureter endoscopy & treatment
50970,Ureter endoscopy
50972,Ureter endoscopy & catheter
50974,Ureter endoscopy & biopsy
50976,Ureter endoscopy & treatment
50980,Ureter endoscopy & treatment
5100F,Rsk fx ref w/n 24 hrs Xray
51020,Incise & treat bladder
51030,Incise & treat bladder
51040,Incise & drain bladder
51045,Incise bladder/drain ureter
51050,Removal of bladder stone
51060,Removal of ureter stone
51065,Remove ureter calculus
51080,Drainage of bladder abscess
51100,Drain bladder by needle
51101,Drain bladder by trocar/cath
51102,Drain bl w/cath insertion
51500,Removal of bladder cyst
51520,Removal of bladder lesion
51525,Removal of bladder lesion
51530,Removal of bladder lesion
51535,Repair of ureter lesion
51550,Partial removal of bladder
51555,Partial removal of bladder
51565,Revise bladder & ureter(s)
51570,Removal of bladder
51575,Removal of bladder & nodes
51580,Remove bladder/revise tract
51585,Removal of bladder & nodes
51590,Remove bladder/revise tract
51595,Remove bladder/revise tract
51596,Remove bladder/create pouch
51597,Removal of pelvic structures
51600,Injection for bladder X-ray
51605,Preparation for bladder Xray
51610,Injection for bladder X-ray
51700,Irrigation of bladder
51701,Insert bladder catheter
51702,Insert temp bladder cath
51703,"Insert bladder cath, complex"
51705,Change of bladder tube
51710,Change of bladder tube
51715,Endoscopic injection/implant
51720,Treatment of bladder lesion
51725,Simple cystometrogram
51726,Complex cystometrogram
51727,Cystometrogram w/up
51728,Cystometrogram w/vp
51729,Cystometrogram w/vp&up
51736,Urine flow measurement
51741,"Electro-uroflowmetry, first"
51784,Anal/urinary muscle study
51785,Anal/urinary muscle study
51792,Urinary reflex study
51797,Intraabdominal pressure test
51798,US urine capacity measure
51800,Revision of bladder/urethra
51820,Revision of urinary tract
51840,Attach bladder/urethra
51841,Attach bladder/urethra
51845,Repair bladder neck
51860,Repair of bladder wound
51865,Repair of bladder wound
51880,Repair of bladder opening
51900,Repair bladder/vagina lesion
51920,Close bladder-uterus fistula
51925,Hysterectomy/bladder repair
51940,Correction of bladder defect
51960,Revision of bladder & bowel
51980,Construct bladder opening
51990,Laparo urethral suspension
51992,Laparo sling operation
51999,Laparoscope proc bla
52000,Cystoscopy
52001,"Cystoscopy, removal of clots"
52005,Cystoscopy & ureter catheter
52007,Cystoscopy and biopsy
5200F,Eval appros surg thxpy epi
52010,Cystoscopy & duct catheter
52204,Cystoscopy w/biopsy(s)
52214,Cystoscopy and treatment
52224,Cystoscopy and treatment
52234,Cystoscopy and treatment
52235,Cystoscopy and treatment
52240,Cystoscopy and treatment
52250,Cystoscopy and radiotracer
52260,Cystoscopy and treatment
52265,Cystoscopy and treatment
52270,Cystoscopy & revise urethra
52275,Cystoscopy & revise urethra
52276,Cystoscopy and treatment
52277,Cystoscopy and treatment
52281,Cystoscopy and treatment
52282,"Cystoscopy, implant stent"
52283,Cystoscopy and treatment
52285,Cystoscopy and treatment
52287,Cystoscopy chemodenervation
52290,Cystoscopy and treatment
52300,Cystoscopy and treatment
52301,Cystoscopy and treatment
52305,Cystoscopy and treatment
52310,Cystoscopy and treatment
52315,Cystoscopy and treatment
52317,Remove bladder stone
52318,Remove bladder stone
52320,Cystoscopy and treatment
52325,"Cystoscopy, stone removal"
52327,"Cystoscopy, inject material"
52330,Cystoscopy and treatment
52332,Cystoscopy and treatment
52334,Create passage to kidney
52341,Cysto w/ureter stricture tx
52342,Cysto w/up stricture tx
52343,Cysto w/renal stricture tx
52344,"Cysto/uretero, stricture tx"
52345,Cysto/uretero w/up stricture
52346,Cystouretero w/renal strict
52351,Cystouretero & or pyeloscope
52352,Cystouretero w/stone remove
52353,Cystouretero w/lithotripsy
52354,Cystouretero w/biopsy
52355,Cystouretero w/excise tumor
52356,Cysto/uretero w/lithotripsy
52400,Cystouretero w/congen repr
52402,Cystourethro cut ejacul duct
52441,Cystourethro w/implant
52442,Cystourethro w/addl implant
52450,Incision of prostate
5250F,Asthma discharge plan presnt
52601,Prostatectomy (TURP)
52630,Remove prostate regrowth
52640,Relieve bladder contracture
52647,Laser surgery of prostate
52648,Laser surgery of prostate
52649,Prostate laser enucleation
52700,Drainage of prostate abscess
53000,Incision of urethra
53010,Incision of urethra
53020,Incision of urethra
53025,Incision of urethra
53040,Drainage of urethra abscess
53060,Drainage of urethra abscess
53080,Drainage of urinary leakage
53085,Drainage of urinary leakage
53200,Biopsy of urethra
53210,Removal of urethra
53215,Removal of urethra
53220,Treatment of urethra lesion
53230,Removal of urethra lesion
53235,Removal of urethra lesion
53240,Surgery for urethra pouch
53250,Removal of urethra gland
53260,Treatment of urethra lesion
53265,Treatment of urethra lesion
53270,Removal of urethra gland
53275,Repair of urethra defect
53400,"Revise urethra, stage 1"
53405,"Revise urethra, stage 2"
53410,Reconstruction of urethra
53415,Reconstruction of urethra
53420,"Reconstruct urethra, stage 1"
53425,"Reconstruct urethra, stage 2"
53430,Reconstruction of urethra
53431,Reconstruct urethra/bladder
53440,Male sling procedure
53442,Remove/revise male sling
53444,Insert tandem cuff
53445,Insert uro/ves nck sphincter
53446,Remove uro sphincter
53447,Remove/replace ur sphincter
53448,Remov/replc ur sphinctr comp
53449,Repair uro sphincter
53450,Revision of urethra
53460,Revision of urethra
53500,"Urethrlys, transvag w/ scope"
53502,Repair of urethra injury
53505,Repair of urethra injury
53510,Repair of urethra injury
53515,Repair of urethra injury
53520,Repair of urethra defect
53600,Dilate urethra stricture
53601,Dilate urethra stricture
53605,Dilate urethra stricture
53620,Dilate urethra stricture
53621,Dilate urethra stricture
53660,Dilation of urethra
53661,Dilation of urethra
53665,Dilation of urethra
53850,Prostatic microwave thermotx
53852,Prostatic RF thermotx
53855,Insert prost urethral stent
53860,Transurethral rf treatment
53899,Urology surgery procedure
54000,Slitting of prepuce
54001,Slitting of prepuce
54015,Drain penis lesion
54050,"Destruction, penis lesion(s)"
54055,"Destruction, penis lesion(s)"
54056,"Cryosurgery, penis lesion(s)"
54057,"Laser surg, penis lesion(s)"
54060,Excision of penis lesion(s)
54065,"Destruction, penis lesion(s)"
54100,Biopsy of penis
54105,Biopsy of penis
54110,Treatment of penis lesion
54111,"Treat penis lesion, graft"
54112,"Treat penis lesion, graft"
54115,Treatment of penis lesion
54120,Partial removal of penis
54125,Removal of penis
54130,Remove penis & nodes
54135,Remove penis & nodes
54150,Circumcision w/regionl block
54160,"Circumcision, neonate"
54161,Circum 28 days or older
54162,Lysis penile circmcsn lesion
54163,Repair of circumcision
54164,Frenulotomy of penis
54200,Treatment of penis lesion
54205,Treatment of penis lesion
54220,Treatment of penis lesion
54230,Prepare penis study
54231,Dynamic cavernosometry
54235,Penile injection
54240,Penis study
54250,Penis study
54300,Revision of penis
54304,Revision of penis
54308,Reconstruction of urethra
54312,Reconstruction of urethra
54316,Reconstruction of urethra
54318,Reconstruction of urethra
54322,Reconstruction of urethra
54324,Reconstruction of urethra
54326,Reconstruction of urethra
54328,Revise penis/urethra
54332,Revise penis/urethra
54336,Revise penis/urethra
54340,Secondary urethral surgery
54344,Secondary urethral surgery
54348,Secondary urethral surgery
54352,Reconstruct urethra/penis
54360,Penis plastic surgery
54380,Repair penis
54385,Repair penis
54390,Repair penis and bladder
54400,Insert semi-rigid prosthesis
54401,Insert self-contd prosthesis
54405,Insert multi-comp penis pros
54406,Remove muti-comp penis pros
54408,Repair multi-comp penis pros
54410,Remove/replace penis prosth
54411,"Remov/replc penis pros, comp"
54415,Remove self-contd penis pros
54416,Remv/repl penis contain pros
54417,"Remv/replc penis pros, compl"
54420,Revision of penis
54430,Revision of penis
54435,Revision of penis
54440,Repair of penis
54450,Preputial stretching
54500,Biopsy of testis
54505,Biopsy of testis
54512,Excise lesion testis
54520,Removal of testis
54522,"Orchiectomy, partial"
54530,Removal of testis
54535,Extensive testis surgery
54550,Exploration for testis
54560,Exploration for testis
54600,Reduce testis torsion
54620,Suspension of testis
54640,Suspension of testis
54650,Orchiopexy (Fowler-Stephens)
54660,Revision of testis
54670,Repair testis injury
54680,Relocation of testis(es)
54690,"Laparoscopy, orchiectomy"
54692,"Laparoscopy, orchiopexy"
54699,"Laparoscope proc, testis"
54700,Drainage of scrotum
54800,Biopsy of epididymis
54830,Remove epididymis lesion
54840,Remove epididymis lesion
54860,Removal of epididymis
54861,Removal of epididymis
54865,Explore epididymis
54900,Fusion of spermatic ducts
54901,Fusion of spermatic ducts
55000,Drainage of hydrocele
55040,Removal of hydrocele
55041,Removal of hydroceles
55060,Repair of hydrocele
55100,Drainage of scrotum abscess
55110,Explore scrotum
55120,Removal of scrotum lesion
55150,Removal of scrotum
55175,Revision of scrotum
55180,Revision of scrotum
55200,Incision of sperm duct
55250,Removal of sperm duct(s)
55300,"Prepare, sperm duct X-ray"
55400,Repair of sperm duct
55450,Ligation of sperm duct
55500,Removal of hydrocele
55520,Removal of sperm cord lesion
55530,Revise spermatic cord veins
55535,Revise spermatic cord veins
55540,Revise hernia & sperm veins
55550,Laparo ligate spermatic vein
55559,"Laparo proc, spermatic cord"
55600,Incise sperm duct pouch
55605,Incise sperm duct pouch
55650,Remove sperm duct pouch
55680,Remove sperm pouch lesion
55700,Biopsy of prostate
55705,Biopsy of prostate
55706,Prostate saturation sampling
55720,Drainage of prostate abscess
55725,Drainage of prostate abscess
55801,Removal of prostate
55810,Extensive prostate surgery
55812,Extensive prostate surgery
55815,Extensive prostate surgery
55821,Removal of prostate
55831,Removal of prostate
55840,Extensive prostate surgery
55842,Extensive prostate surgery
55845,Extensive prostate surgery
55860,"Surgical exposure, prostate"
55862,Extensive prostate surgery
55865,Extensive prostate surgery
55866,Laparo radical prostatectomy
55870,Electroejaculation
55873,Cryoablate prostate
55875,"Transperi needle place, pros"
55876,"Place rt device/marker, pros"
55899,Genital surgery procedure
55920,Place needles pelvic for rt
55970,"Sex transformation, m to f"
55980,"Sex transformation, f to m"
56405,I & D of vulva/perineum
56420,Drainage of gland abscess
56440,Surgery for vulva lesion
56441,Lysis of labial lesion(s)
56442,Hymenotomy
56501,"Destroy, vulva lesions, sim"
56515,Destroy vulva lesion/s compl
56605,Biopsy of vulva/perineum
56606,Biopsy of vulva/perineum
56620,Partial removal of vulva
56625,Complete removal of vulva
56630,Extensive vulva surgery
56631,Extensive vulva surgery
56632,Extensive vulva surgery
56633,Extensive vulva surgery
56634,Extensive vulva surgery
56637,Extensive vulva surgery
56640,Extensive vulva surgery
56700,Partial removal of hymen
56740,Remove vagina gland lesion
56800,Repair of vagina
56805,Repair clitoris
56810,Repair of perineum
56820,Exam of vulva w/scope
56821,Exam/biopsy of vulva w/scope
57000,Exploration of vagina
57010,Drainage of pelvic abscess
57020,Drainage of pelvic fluid
57022,"I & D vaginal hematoma, pp"
57023,"I & D vag hematoma, non-ob"
57061,"Destroy vag lesions, simple"
57065,"Destroy vag lesions, complex"
57100,Biopsy of vagina
57105,Biopsy of vagina
57106,"Remove vagina wall, partial"
57107,"Remove vagina tissue, part"
57109,Vaginectomy partial w/nodes
57110,"Remove vagina wall, complete"
57111,"Remove vagina tissue, compl"
57112,"Vaginectomy w/nodes, compl"
57120,Closure of vagina
57130,Remove vagina lesion
57135,Remove vagina lesion
57150,Treat vagina infection
57155,Insert uteri tandem/ovoids
57156,Ins vag brachytx device
57160,Insert pessary/other device
57170,Fitting of diaphragm/cap
57180,Treat vaginal bleeding
57200,Repair of vagina
57210,Repair vagina/perineum
57220,Revision of urethra
57230,Repair of urethral lesion
57240,Repair bladder & vagina
57250,Repair rectum & vagina
57260,Repair of vagina
57265,Extensive repair of vagina
57267,Insert mesh/pelvic flr addon
57268,Repair of bowel bulge
57270,Repair of bowel pouch
57280,Suspension of vagina
57282,"Colpopexy, extraperitoneal"
57283,"Colpopexy, intraperitoneal"
57284,"Repair paravag defect, open"
57285,"Repair paravag defect, vag"
57287,Revise/remove sling repair
57288,Repair bladder defect
57289,Repair bladder & vagina
57291,Construction of vagina
57292,Construct vagina with graft
57295,Revise vag graft via vagina
57296,"Revise vag graft, open abd"
57300,Repair rectum-vagina fistula
57305,Repair rectum-vagina fistula
57307,Fistula repair & colostomy
57308,"Fistula repair, transperine"
57310,Repair urethrovaginal lesion
57311,Repair urethrovaginal lesion
57320,Repair bladder-vagina lesion
57330,Repair bladder-vagina lesion
57335,Repair vagina
57400,Dilation of vagina
57410,Pelvic examination
57415,Remove vaginal foreign body
57420,Exam of vagina w/scope
57421,Exam/biopsy of vag w/scope
57423,"Repair paravag defect, lap"
57425,"Laparoscopy, surg, colpopexy"
57426,Revise prosth vag graft lap
57452,Exam of cervix w/scope
57454,Bx/curett of cervix w/scope
57455,Biopsy of cervix w/scope
57456,Endocerv curettage w/scope
57460,"Bx of cervix w/scope, LEEP"
57461,"Conz of cervix w/scope, LEEP"
57500,Biopsy of cervix
57505,Endocervical curettage
57510,Cauterization of cervix
57511,Cryocautery of cervix
57513,Laser surgery of cervix
57520,Conization of cervix
57522,Conization of cervix
57530,Removal of cervix
57531,"Removal of cervix, radical"
57540,Removal of residual cervix
57545,Remove cervix/repair pelvis
57550,Removal of residual cervix
57555,Remove cervix/repair vagina
57556,"Remove cervix, repair bowel"
57558,D&C of cervical stump
57700,Revision of cervix
57720,Revision of cervix
57800,Dilation of cervical canal
58100,Biopsy of uterus lining
58110,Bx done w/colposcopy add-on
58120,Dilation and curettage
58140,Myomectomy abdom method
58145,Myomectomy vag method
58146,Myomectomy abdom complex
58150,Total hysterectomy
58152,Total hysterectomy
58180,Partial hysterectomy
58200,Extensive hysterectomy
58210,Extensive hysterectomy
58240,Removal of pelvis contents
58260,Vaginal hysterectomy
58262,Vag hyst including t/o
58263,Vag hyst w/t/o & vag repair
58267,Vag hyst w/urinary repair
58270,Vag hyst w/enterocele repair
58275,Hysterectomy/revise vagina
58280,Hysterectomy/revise vagina
58285,Extensive hysterectomy
58290,Vag hyst complex
58291,"Vag hyst incl t/o, complex"
58292,"Vag hyst t/o & repair, compl"
58293,"Vag hyst w/uro repair, compl"
58294,"Vag hyst w/enterocele, compl"
58300,Insert intrauterine device
58301,Remove intrauterine device
58321,Artificial insemination
58322,Artificial insemination
58323,Sperm washing
58340,Catheter for hysterography
58345,Reopen fallopian tube
58346,Insert Heyman uteri capsule
58350,Reopen fallopian tube
58353,"Endometr ablate, thermal"
58356,Endometrial cryoablation
58400,Suspension of uterus
58410,Suspension of uterus
58520,Repair of ruptured uterus
58540,Revision of uterus
58541,"LSH, uterus 250 g or less"
58542,LSH w/t/o ut 250 g or less
58543,LSH uterus above 250 g
58544,LSH w/t/o uterus above 250 g
58545,Laparoscopic myomectomy
58546,"Laparo-myomectomy, complex"
58548,Lap radical hyst
58550,Laparo-asst vag hysterectomy
58552,Laparo-vag hyst incl t/o
58553,"Laparo-vag hyst, complex"
58554,"Laparo-vag hyst w/t/o, compl"
58555,"Hysteroscopy, dx, sep proc"
58558,"Hysteroscopy, biopsy"
58559,"Hysteroscopy, lysis"
58560,"Hysteroscopy, resect septum"
58561,"Hysteroscopy, remove myoma"
58562,"Hysteroscopy, remove FB"
58563,"Hysteroscopy, ablation"
58565,"Hysteroscopy, sterilization"
58570,"TLH, uterus 250 g or less"
58571,TLH w/t/o 250 g or less
58572,"TLH, uterus over 250 g"
58573,TLH w/t/o uterus over 250 g
58578,"Laparo proc, uterus"
58579,Hysteroscope procedure
58600,Division of fallopian tube
58605,Division of fallopian tube
58611,Ligate oviduct(s) add-on
58615,Occlude fallopian tube(s)
58660,"Laparoscopy, lysis"
58661,"Laparoscopy, remove adnexa"
58662,"Laparoscopy, excise lesions"
58670,"Laparoscopy, tubal cautery"
58671,"Laparoscopy, tubal block"
58672,"Laparoscopy, fimbrioplasty"
58673,"Laparoscopy, salpingostomy"
58679,"Laparo proc, oviduct-ovary"
58700,Removal of fallopian tube
58720,Removal of ovary/tube(s)
58740,Adhesiolysis tube ovary
58750,Repair oviduct
58752,Revise ovarian tube(s)
58760,Fimbrioplasty
58770,Create new tubal opening
58800,Drainage of ovarian cyst(s)
58805,Drainage of ovarian cyst(s)
58820,"Drain ovary abscess, open"
58822,"Drain ovary abscess, percut"
58825,"Transposition, ovary(s)"
58900,Biopsy of ovary(s)
58920,Partial removal of ovary(s)
58925,Removal of ovarian cyst(s)
58940,Removal of ovary(s)
58943,Removal of ovary(s)
58950,Resect ovarian malignancy
58951,Resect ovarian malignancy
58952,Resect ovarian malignancy
58953,"TAH, rad dissect for debulk"
58954,TAH rad debulk/lymph remove
58956,"BSO, omentectomy w/TAH"
58957,Resect recurrent gyn mal
58958,Resect recur gyn mal w/lym
58960,Exploration of abdomen
58970,Retrieval of oocyte
58974,Transfer of embryo
58976,Transfer of embryo
58999,Genital surgery procedure
59000,"Amniocentesis, diagnostic"
59001,"Amniocentesis, therapeutic"
59012,Fetal cord puncture prenatal
59015,Chorion biopsy
59020,Fetal contract stress test
59025,Fetal non-stress test
59030,Fetal scalp blood sample
59050,Fetal monitor w/report
59051,Fetal monitor/interpret only
59070,Transabdom amnioinfus w/US
59072,Umbilical cord occlud w/US
59074,Fetal fluid drainage w/US
59076,"Fetal shunt placement, w/US"
59100,Remove uterus lesion
59120,Treat ectopic pregnancy
59121,Treat ectopic pregnancy
59130,Treat ectopic pregnancy
59135,Treat ectopic pregnancy
59136,Treat ectopic pregnancy
59140,Treat ectopic pregnancy
59150,Treat ectopic pregnancy
59151,Treat ectopic pregnancy
59160,D & C after delivery
59200,Insert cervical dilator
59300,Episiotomy or vaginal repair
59320,Revision of cervix
59325,Revision of cervix
59350,Repair of uterus
59400,Obstetrical care
59409,Obstetrical care
59410,Obstetrical care
59412,Antepartum manipulation
59414,Deliver placenta
59425,Antepartum care only
59426,Antepartum care only
59430,Care after delivery
59510,Cesarean delivery
59514,Cesarean delivery only
59515,Cesarean delivery
59525,Remove uterus after cesarean
59610,VBAC delivery
59612,VBAC delivery only
59614,VBAC care after delivery
59618,Attempted VBAC delivery
59620,Attempted VBAC delivery only
59622,Attempted VBAC after care
59812,Treatment of miscarriage
59820,Care of miscarriage
59821,Treatment of miscarriage
59830,Treat uterus infection
59840,Abortion
59841,Abortion
59850,Abortion
59851,Abortion
59852,Abortion
59855,Abortion
59856,Abortion
59857,Abortion
59866,Abortion (MPR)
59870,Evacuate mole of uterus
59871,Remove cerclage suture
59897,Fetal invas px w/US
59898,"Laparo proc, ob care/deliver"
59899,Maternity care procedure
60000,Drain thyroid/tongue cyst
6005F,Care level rationale doc
60100,Biopsy of thyroid
6010F,Dysphag test done b/4 eating
6015F,Pt ok for per oral intake
60200,Remove thyroid lesion
6020F,NPO (nothing-mouth) ordered
60210,Partial thyroid excision
60212,Partial thyroid excision
60220,Partial removal of thyroid
60225,Partial removal of thyroid
60240,Removal of thyroid
60252,Removal of thyroid
60254,Extensive thyroid surgery
60260,Repeat thyroid surgery
60270,Removal of thyroid
60271,Removal of thyroid
60280,Remove thyroid duct lesion
60281,Remove thyroid duct lesion
60300,Aspir/inj thyroid cyst
6040F,Appro rad ds dvcs techs docd
6045F,Radxps in end rprt4fluro pxd
60500,Explore parathyroid glands
60502,Re-explore parathyroids
60505,Explore parathyroid glands
60512,Autotransplant parathyroid
60520,Removal of thymus gland
60521,Removal of thymus gland
60522,Removal of thymus gland
60540,Explore adrenal gland
60545,Explore adrenal gland
60600,Remove carotid body lesion
60605,Remove carotid body lesion
60650,Laparoscopy adrenalectomy
60659,"Laparo proc, endocrine"
60699,Endocrine surgery procedure
6070F,Pt asked/cnsld AED effects
6080F,Pt/caregiver queried falls
6090F,Pt/caregiver counsel safety
61000,Remove cranial cavity fluid
61001,Remove cranial cavity fluid
6100F,Verify pt site pxd docd
6101F,Safety counseling dementia
61020,Remove brain cavity fluid
61026,Injection into brain canal
6102F,Safety counseling dem order
61050,Remove brain canal fluid
61055,Injection into brain canal
61070,Brain canal shunt procedure
61105,Twist drill hole
61107,Drill skull for implantation
61108,Drill skull for drainage
6110F,Counsel prov driving risks
61120,Burr hole for puncture
61140,Pierce skull for biopsy
61150,Pierce skull for drainage
61151,Pierce skull for drainage
61154,Pierce skull & remove clot
61156,Pierce skull for drainage
61210,"Pierce skull, implant device"
61215,Insert brain-fluid device
61250,Pierce skull & explore
61253,Pierce skull & explore
61304,Open skull for exploration
61305,Open skull for exploration
61312,Open skull for drainage
61313,Open skull for drainage
61314,Open skull for drainage
61315,Open skull for drainage
61316,Implt cran bone flap to abdo
61320,Open skull for drainage
61321,Open skull for drainage
61322,Decompressive craniotomy
61323,Decompressive lobectomy
61330,Decompress eye socket
61332,Explore/biopsy eye socket
61333,Explore orbit/remove lesion
61340,Subtemporal decompression
61343,Incise skull (press relief)
61345,Relieve cranial pressure
61450,Incise skull for surgery
61458,Incise skull for brain wound
61460,Incise skull for surgery
61480,Incise skull for surgery
61500,Removal of skull lesion
61501,Remove infected skull bone
6150F,Pt notrcvng1st antiTNF txmnt
61510,Removal of brain lesion
61512,Remove brain lining lesion
61514,Removal of brain abscess
61516,Removal of brain lesion
61517,Implt brain chemotx add-on
61518,Removal of brain lesion
61519,Remove brain lining lesion
61520,Removal of brain lesion
61521,Removal of brain lesion
61522,Removal of brain abscess
61524,Removal of brain lesion
61526,Removal of brain lesion
61530,Removal of brain lesion
61531,Implant brain electrodes
61533,Implant brain electrodes
61534,Removal of brain lesion
61535,Remove brain electrodes
61536,Removal of brain lesion
61537,Removal of brain tissue
61538,Removal of brain tissue
61539,Removal of brain tissue
61540,Removal of brain tissue
61541,Incision of brain tissue
61543,Removal of brain tissue
61544,Remove & treat brain lesion
61545,Excision of brain tumor
61546,Removal of pituitary gland
61548,Removal of pituitary gland
61550,Release of skull seams
61552,Release of skull seams
61556,Incise skull/sutures
61557,Incise skull/sutures
61558,Excision of skull/sutures
61559,Excision of skull/sutures
61563,Excision of skull tumor
61564,Excision of skull tumor
61566,Removal of brain tissue
61567,Incision of brain tissue
61570,"Remove foreign body, brain"
61571,Incise skull for brain wound
61575,Skull base/brainstem surgery
61576,Skull base/brainstem surgery
61580,"Craniofacial approach, skull"
61581,"Craniofacial approach, skull"
61582,"Craniofacial approach, skull"
61583,"Craniofacial approach, skull"
61584,Orbitocranial approach/skull
61585,Orbitocranial approach/skull
61586,"Resect nasopharynx, skull"
61590,Infratemporal approach/skull
61591,Infratemporal approach/skull
61592,Orbitocranial approach/skull
61595,Transtemporal approach/skull
61596,Transcochlear approach/skull
61597,Transcondylar approach/skull
61598,Transpetrosal approach/skull
61600,Resect/excise cranial lesion
61601,Resect/excise cranial lesion
61605,Resect/excise cranial lesion
61606,Resect/excise cranial lesion
61607,Resect/excise cranial lesion
61608,Resect/excise cranial lesion
61610,"Transect artery, sinus"
61611,"Transect artery, sinus"
61612,"Transect artery, sinus"
61613,"Remove aneurysm, sinus"
61615,"Resect/excise lesion, skull"
61616,"Resect/excise lesion, skull"
61618,Repair dura
61619,Repair dura
61623,Endovasc tempory vessel occl
61624,"Transcath occlusion, CNS"
61626,"Transcath occlusion, non-CNS"
61630,Intracranial angioplasty
61635,Intracran angioplsty w/stent
61640,"Dilate IC vasospasm, init"
61641,Dilate IC vasospasm add-on
61642,Dilate IC vasospasm add-on
61680,Intracranial vessel surgery
61682,Intracranial vessel surgery
61684,Intracranial vessel surgery
61686,Intracranial vessel surgery
61690,Intracranial vessel surgery
61692,Intracranial vessel surgery
61697,"Brain aneurysm repr, complx"
61698,"Brain aneurysm repr, complx"
61700,"Brain aneurysm repr, simple"
61702,Inner skull vessel surgery
61703,Clamp neck artery
61705,Revise circulation to head
61708,Revise circulation to head
61710,Revise circulation to head
61711,Fusion of skull arteries
61720,Incise skull/brain surgery
61735,Incise skull/brain surgery
61750,Incise skull/brain biopsy
61751,Brain biopsy w/CT/MR guide
61760,Implant brain electrodes
61770,Incise skull for treatment
61781,Scan proc cranial intra
61782,Scan proc cranial extra
61783,Scan proc spinal
61790,Treat trigeminal nerve
61791,Treat trigeminal tract
61796,"SRS, cranial lesion simple"
61797,"SRS, cran les simple, addl"
61798,"SRS, cranial lesion complex"
61799,"SRS, cran les complex, addl"
61800,Apply SRS headframe add-on
61850,Implant neuroelectrodes
61860,Implant neuroelectrodes
61863,Implant neuroelectrode
61864,"Implant neuroelectrde, addl"
61867,Implant neuroelectrode
61868,"Implant neuroelectrde, addl"
61870,Implant neuroelectrodes
61880,Revise/remove neuroelectrode
61885,Insrt/redo neurostim 1 array
61886,Implant neurostim arrays
61888,Revise/remove neuroreceiver
62000,Treat skull fracture
62005,Treat skull fracture
62010,Treatment of head injury
62100,Repair brain fluid leakage
62115,Reduction of skull defect
62117,Reduction of skull defect
62120,Repair skull cavity lesion
62121,Incise skull repair
62140,Repair of skull defect
62141,Repair of skull defect
62142,Remove skull plate/flap
62143,Replace skull plate/flap
62145,Repair of skull & brain
62146,Repair of skull with graft
62147,Repair of skull with graft
62148,Retr bone flap to fix skull
62160,Neuroendoscopy add-on
62161,Dissect brain w/scope
62162,Remove colloid cyst w/scope
62163,Neuroendoscopy w/FB removal
62164,Remove brain tumor w/scope
62165,Remove pituit tumor w/scope
62180,Establish brain cavity shunt
62190,Establish brain cavity shunt
62192,Establish brain cavity shunt
62194,Replace/irrigate catheter
62200,Establish brain cavity shunt
62201,Brain cavity shunt w/scope
62220,Establish brain cavity shunt
62223,Establish brain cavity shunt
62225,Replace/irrigate catheter
62230,Replace/revise brain shunt
62252,CSF shunt reprogram
62256,Remove brain cavity shunt
62258,Replace brain cavity shunt
62263,Epidural lysis mult sessions
62264,Epidural lysis on single day
62267,"Interdiscal perq aspir, dx"
62268,Drain spinal cord cyst
62269,"Needle biopsy, spinal cord"
62270,"Spinal fluid tap, diagnostic"
62272,Drain cerebro spinal fluid
62273,Inject epidural patch
62280,Treat spinal cord lesion
62281,Treat spinal cord lesion
62282,Treat spinal canal lesion
62284,Injection for myelogram
62290,Inject for spine disk X-ray
62291,Inject for spine disk X-ray
62292,Injection into disk lesion
62294,Injection into spinal artery
62302,Myelography lumbar injection
62303,Myelography lumbar injection
62304,Myelography lumbar injection
62305,Myelography lumbar injection
62310,Inject spine cerv/thoracic
62311,Inject spine lumbar/sacral
62318,Inject spine w/cath crv/thrc
62319,Inject spine w/cath lmb/scrl
62350,Implant spinal canal cath
62351,Implant spinal canal cath
62355,Remove spinal canal catheter
62360,Insert spine infusion device
62361,Implant spine infusion pump
62362,Implant spine infusion pump
62365,Remove spine infusion device
62367,Analyze spine infus pump
62368,Analyze sp inf pump w/reprog
62369,Anal sp inf pmp w/reprg&fill
62370,Anl sp inf pmp w/mdreprg&fil
63001,Remove spine lamina 1/2 crvl
63003,Remove spine lamina 1/2 thrc
63005,Remove spine lamina 1/2 lmbr
63011,Remove spine lamina 1/2 scrl
63012,Remove lamina/facets lumbar
63015,Remove spine lamina >2 crvcl
63016,Remove spine lamina > 2 thrc
63017,Remove spine lamina > 2 lmbr
63020,Neck spine disk surgery
63030,Low back disk surgery
63035,Spinal disk surgery add-on
63040,"Laminotomy, single cervical"
63042,"Laminotomy, single lumbar"
63043,Laminotomy addl cervical
63044,Laminotomy addl lumbar
63045,Remove spine lamina 1 crvl
63046,Remove spine lamina 1 thrc
63047,Remove spine lamina 1 lmbr
63048,Remove spinal lamina add-on
63050,Cervical laminoplsty > 2 seg
63051,C-laminoplasty w/graft/plate
63055,Decompress spinal cord thrc
63056,Decompress spinal cord lmbr
63057,Decompress spine cord add-on
63064,Decompress spinal cord thrc
63066,Decompress spine cord add-on
63075,Neck spine disk surgery
63076,Neck spine disk surgery
63077,"Spine disk surgery, thorax"
63078,"Spine disk surgery, thorax"
63081,Remove vert body dcmprn crvl
63082,Remove vertebral body add-on
63085,Remove vert body dcmprn thrc
63086,Remove vertebral body add-on
63087,Remov vertbr dcmprn thrclmbr
63088,Remove vertebral body add-on
63090,Remove vert body dcmprn lmbr
63091,Remove vertebral body add-on
