HCPCSCode,ShortDescription
G0168,Wound closure by adhesive
G0173,Linear acc stereo radsur com
G0175,"OPPS Service,sched team conf"
G0186,"Dstry eye lesn,fdr vssl tech"
G0237,Therapeutic procd strg endur
G0239,"Oth resp proc, group"
G0250,MD INR test revie inter mgmt
G0251,Linear acc based stero radio
G0259,Inject for sacroiliac joint
G0260,Inj for sacroiliac jt anesth
G0268,Removal of impacted wax MD
G0270,MNT subs tx for change dx
G0271,Group MNT 2 or more 30 mins
G0277,"HBOT, full body chamber, 30m"
G0278,"Iliac art angio,cardiac cath"
G0283,Elec stim other than wound
G0288,"Recon, CTA for surg plan"
G0289,"Arthro, loose body + chondro"
G0328,Fecal blood scrn immunoassay
G0333,Dispense fee initial 30 day
G0337,Hospice evaluation preelecti
G0339,"Robot lin-radsurg com, first"
G0340,Robt lin-radsurg fractx 2-5
G0341,Percutaneous islet celltrans
G0342,Laparoscopy islet cell trans
G0343,Laparotomy islet cell transp
G0364,Bone marrow aspirate &biopsy
G0365,Vessel mapping hemo access
G0372,MD service required for PMD
G0378,Hospital observation per hr
G0379,Direct admit hospital observ
G0390,Trauma respons w/hosp criti
G0406,Inpt/tele follow up 15
G0407,Inpt/tele follow up 25min
G0408,Inpt/tele follow up 35min
G0410,Grp psych partial hosp 45-50
G0411,Interactive grp psych parti
G0414,Pelvic ring fx treat int fix
G0415,Open tx post pelvic fracture
G0416,"Biopsy prostate, any method"
G0417,Biopsy prostate 21-40
G0418,Biopsy prostate 41-60
G0419,Biopsy prostate: >60
G0420,Ed svc ckd ind per session
G0421,Ed svc ckd grp per session
G0424,Pulmonary rehab w exer
G0425,Inpt/ED teleconsult 30 min
G0426,Inpt/ED teleconsult 50m
G0427,Inpt/ED teleconsult 70 min
G0442,Annual alcohol screen 15 min
G0443,Brief alcohol misuse counsel
G0444,Depression screen annual
G0445,High inten beh couns STD 30m
G0447,Behavior counsel obesity 15m
G0448,Place perm pacing cardiovert
G0451,Devlopment test interpt&rep
G0452,Molecular pathology interpr
G0453,Cont intraop neuro monitor
G0454,MD document visit by NPP
G0455,Fecal microbiota prep instil
G0456,Neg pre wound <= 50 sq cm
G0457,Neg pres wound > 50 sq cm
G0459,Telehealth inpt pharm mgmt
G0460,Autologous PRP for ulcers
G0461,Immunohisto/cyto chem 1st st
G0462,Immunohisto/cyto chem add
G0463,Hospital outpt clinic visit
G0473,Group behave couns 2-10
G0908,Hgb > 12 g/dL
G0909,Hgb not doc
G0910,Hgb <= 12 g/dL
G0913,Improve visual funct
G0914,Survey not complete
G0915,No improve visual funct
G0916,Satisfy with care
G0917,Satisfy survey not complete
G0918,No satisfy with care
G0919,Flu immunize not avail
G0920,Type loc act doc
G0921,Doc pt reas no assess
G0922,Type loc act not doc
G6001,Echo guidance radiotherapy
G6016,Delivery comp IMRT
G8126,Pt treat w/antidepress12wks
G8127,Pt not treat w/antidepres12w
G8128,Pt inelig for antidepres med
G8397,Dil macula/fundus exam/w doc
G8398,Dil macular/fundus not perfo
G8404,Low extremity neur exam docm
G8405,Low extremity neur not perfo
G8406,Pt inelig lower extrem neuro
G8410,Eval on foot documented
G8415,Eval on foot not performed
G8416,Pt inelig footwear evaluatio
G8428,Cur meds not document
G8430,Pt inelig med check
G8431,Pos clin depres scrn f/u doc
G8442,Pt inelig pain assessment
G8450,Beta-blocker tx prescribed
G8452,Beta-blocker tx not prescrib
G8464,Pt inelig; lo to no dter rsk
G8473,ACE/ARB thxpy rx'd
G8475,ACE/ARB thxpy not rx'd
G8478,BP not performed/doc
G8482,Flu immunize order/admin
G8483,Flu imm no admin doc reason
G8484,Flu immunize no admin
G8492,Periop Care measures grp
G8493,Back pain measures grp
G8501,Periop meas qual act perform
G8502,Back Pain mg qual act perfrm
G8506,Pt rec ACE/ARB
G8509,Pos pain assess no f/u doc
G8535,Pt inelig no eld mal scrn
G8536,No doc elder mal scrn
G8539,Doc funct and care plan
G8540,Pt inelig funct assess
G8541,No doc cur funct assess
G8542,Doc funct no deficiencies
G8543,Cur funct asses; no care pln
G8547,IVD Measures Group
G8552,IVD mg qual act perform
G8559,Pt ref doc oto eval
G8560,Pt hx act drain prev 90 days
G8561,Pt inelig for ref oto eval
G8562,Pt no hx act drain 90 d
G8563,Pt no ref oto reas no spec
G8564,Pt ref oto eval
G8565,Ver doc hear loss
G8567,Pt no doc hear loss
G8568,Pt no ref otolo no spec
G8569,Prol intubation req
G8570,No prol intub req
G8571,Ster wd ifx 30 d postop
G8572,No ster wd ifx
G8575,Postop ren fail
G8576,No postop ren fail
G8577,Reop req bld grft oth
G8578,No reop req bld grft oth
G8579,Antplt med disch
G8580,Antplt med contraind
G8581,No antplt med disch
G8582,Bblock disch
G8583,Bblock contraind
G8584,No bblock disch
G8585,Antilipid treat disch
G8586,Antlip disch contra
G8587,No antlipid treat disch
G8593,Lipid pn results
G8594,No lipid prof perf
G8595,LDL-C < 100
G8597,LDL-C >= 100
G8629,Doc antibio order b/4 surg
G8630,Doc antibio given b/4 surg
G8631,Pt no elg 4 order antbi give
G8632,Doc no antibi order b/4 surg
G8633,Pharm ther osteo rx
G8635,No pharm ther osteo rx
G8647,Fun stat score knee >=0
G8648,Fun stat score knee <0
G8651,Fun stat score hip >=0
G8652,Fun stat score hip <0
G8663,Fun stat score shdl >=0
G8664,Fun stat score shdl<0
G8667,Fun stat score UE>=0
G8668,Fun stat score UE<0
G8682,LVF test perf
G8683,Pt not elig for LVF test
G8685,LVF test not perf
G8696,Antithromb thx presc
G8697,Antithromb no presc doc reas
G8698,Antithromb no presc no reas
G8699,Rehab ordered disch
G8700,Rehab not indicated disch
G8701,Rehab not ordered
G8702,Antiobiotics 4 hr prior surg
G8703,Antibiotics not prior surg
G8704,ECG performed
G8705,Med reas no ECG
G8706,Pt reas no ECG
G8707,ECG not performed
G8708,Antibiotic not pres
G8710,Pt pres antibiotic
G8711,Pres antibiotic
G8712,Not pres antibiotic
G8721,"Pt, pn, hist grade doc"
G8723,Spec sit not prim tumor
G8724,"Pt, pn, hist grade not doc"
G8730,Pain doc pos and plan
G8731,Pain neg no plan
G8732,No doc of pain
G8733,Doc pos elder mal scrn plan
G8734,Doc neg elder mal no plan
G8735,Eld mal scrn pos no plan
G8736,LDL-C <100mg/dL
G8737,LDL-C >=100mg/dL
G8738,LVEF < 40%
G8739,LVEF >= 40%
G8740,LVEF not perfrmd
G8749,Signs of melanoma absent
G8751,Smkg status not assess
G8756,No BP measure doc
G8763,Hyperten MG qual act perform
G8764,Car Prev MG qual act perform
G8767,Lipid panel res doc rev
G8768,Doc med reas no lipid profle
G8769,Lipid profile not perform
G8770,Urine protein test doc rev
G8771,Doc dx CKD
G8772,Doc med reas no urine protn
G8773,No urine protein test
G8774,Serum creatinine doc rev
G8775,Doc med reas no serum crtn
G8776,No serum creatinine test
G8777,Diabetes screen
G8778,Doc med reas no diabete scrn
G8779,No diabetes screen
G8780,Counsel diet phys activity
G8781,Doc med reas no counsel diet
G8782,No counsel diet phys act
G8783,BP scrn perf rec interval
G8785,BP scrn no perf at interval
G8797,Specimen site not esophagus
G8798,Specimen site not prostate
G8808,No transab or transvag US
G8815,Doc reas no statin therapy
G8816,Statin med pres at disch
G8817,Doc reas no statin med disch
G8839,Sleep apnea assess
G8840,Doc reas no sleep apnea
G8841,No sleep apnea assess
G8845,Pos Airway Press prescribed
G8849,Doc reas no Pos Air Press
G8850,No PAP prescribed
G8851,Adhere Pos Air Press therapy
G8852,Pos Air Press prescribe
G8854,Reas no adhere Pos Air Pres
G8855,Pos Air Press adhere no perf
G8856,Ref for oto eval
G8857,No elig ref for oto eval
G8858,Not ref for oto eval
G8859,Corticosteroids 10mg 60 days
G8860,Corticosteroid 10 mg 60 days
G8862,No corticostrd 10mg 60 days
G8863,No assess bone loss
G8864,Pneumococcal vaccine admin
G8865,Doc med reas no pneumococcal
G8866,Doc pt reas no pneumococcal
G8867,No pneumococcal admin
G8872,Intraop image confirm excise
G8874,Tissue not image intraop
G8875,Breast cancer dx min invsive
G8876,Doc reas no min inv dx
G8877,No brst cncr dx min invasive
G8878,Sent lymph node biopsy
G8880,Doc reas no lymph node biop
G8882,No sent lymph node biopsy
G8883,"Rev, comm, track, doc biopsy"
G8884,Doc reas biopsy not review
G8885,"No rev, comm, track biopsy"
G8886,BP under control
G8887,Doc med reas BP not control
G8888,BP not under control
G8889,No doc BP
G8890,LDL-C under control
G8891,Doc med reas no LDL-C contrl
G8892,Doc med reas no LDL-C test
G8893,LDL-C not under control
G8894,LDL-C not performed
G8895,Antithrombotic prescribed
G8896,Doc med reas no antithromb
G8897,Antithrom not prescribe
G8904,Hypertension MG
G8905,Cardiovascular Prevention MG
G8907,Pt doc no events on discharg
G8908,Pt doc w burn prior to d/c
G8909,Pt doc no burn prior to d/c
G8910,Pt doc to have fall in ASC
G8912,Pt doc with wrong event
G8913,Pt doc no wrong event
G8914,Pt trans to hosp post d/c
G8915,Pt not trans to hosp at d/c
G8926,Spiro no perf or doc
G8930,Assess of dep @ initial eval
G8931,Asses of dep not documented
G8932,Suicd risk assess init eval
G8933,Suicide risk not assessed
G8935,Rx ACE or ARB therapy
G8937,No rx ACE/ARB therapy
G8939,"Pain assess doc, f/u no doc"
G8941,"No doc elder scrn, pt no el"
G8943,LDLC not pres w/i 12 mo prir
G8946,MIBM but no dx of breast CA
G8947,1 or more neuropsych
G8949,Doc pt reas on counsel diet
G8950,"Pre-htn or htn doc, f/u indc"
G8952,"Pre-htn/htn, no f/u, not gvn"
G8956,Pt rcv HeDia outpt dyls fac
G8957,Pt no HeDia in outpt fac
G8958,Assess vol mgmt not doc
G8959,Clin tx MDD comm to tx clin
G8960,Clin tx MDD not comm
G8961,CSIT low risk surg pts preop
G8962,CSIT on pt any reas 30 days
G8969,Pt rsn no pres wrfrn or othr
G8970,No rsk fac or 1 mod risk TE
G8972,1>=risk or>= mod risk for TE
G8974,Hgb not doc rns not given
G8978,Mobility current status
G8979,Mobility goal status
G8980,Mobility D/C status
G8981,Body pos current status
G8982,Body pos goal status
G8983,Body pos D/C status
G8984,Carry current status
G8985,Carry goal status
G8986,Carry D/C status
G8987,Self care current status
G8988,Self care goal status
G8989,Self care D/C status
G8990,Other PT/OT current status
G8991,Other PT/OT goal status
G8992,Other PT/OT D/C status
G8993,Sub PT/OT current status
G8994,Sub PT/OT goal status
G8995,Sub PT/OT D/C status
G8996,Swallow current status
G8997,Swallow goal status
G8998,Swallow D/C status
G8999,Motor speech current status
G9001,"MCCD, initial rate"
G9002,"MCCD,maintenance rate"
G9003,"MCCD, risk adj hi, initial"
G9004,"MCCD, risk adj lo, initial"
G9005,"MCCD, risk adj, maintenance"
G9006,"MCCD, Home monitoring"
G9007,"MCCD, sch team conf"
G9008,"MCCD,phys coor-care ovrsght"
G9009,"MCCD, risk adj, level 3"
G9010,"MCCD, risk adj, level 4"
G9011,"MCCD, risk adj, level 5"
G9012,Other Specified Case Mgmt
G9016,Demo-smoking cessation coun
G9051,Oncology tx decision-mgmt
G9052,Onc surveillance for disease
G9053,Onc expectant management pt
G9054,Onc supervision palliative
G9059,Onc prac mgmt pt opt alterna
G9077,Onc dx prostate T1no progres
G9128,Onc dx multi myeloma stage I
G9143,Warfarin respon genetic test
G9148,Medical home level I
G9156,Evaluation for wheelchair
G9158,Motor speech D/C status
G9159,Lang comp current status
G9160,Lang comp goal status
G9161,Lang comp D/C status
G9162,Lang express current status
G9163,Lang express goal status
G9164,Lang express D/C status
G9165,Atten current status
G9166,Atten goal status
G9167,Atten D/C status
G9169,Memory goal status
G9170,Memory D/C status
G9171,Voice current status
G9172,Voice goal status
G9173,Voice D/C status
G9174,Speech lang current status
G9175,Speech lang goal status
G9176,Speech lang D/C status
G9186,Motor speech goal status
G9187,BPCI home visit
G9188,Beta not given no reason
G9189,Beta pres or already taking
G9190,Medical reason for no beta
G9191,Pt reason for no beta
G9192,System reason for no beta
G9193,Doc not eligible for dep med
G9194,Mdd pt treated for 180d
G9195,Mdd pt not treated for 180d
G9197,Order for ceph
G9198,No order for ceph no reason
G9199,Doc reason for no VTE
G9200,No reason for no VTE
G9201,VTE given upon admission
G9202,Hep C aby pos
G9210,No hepC RNA after med docrsn
G9212,Doc of DSM-IV init eval
G9214,CD4 count documented
G9215,No CD4 count no reason
G9216,No PCP proph at dx no reason
G9218,No PCP prop low at CD4 norsn
G9219,No oder pjp for med reason
G9220,No order for pjp for medrsn
G9221,Pjp proph prescribed
G9224,Medrsn no foot exam
G9225,Norsn no foot exam
G9227,Docrsn no care plan
G9228,Gc chl syp documented
G9229,Ptrsn no gc chl syp test
G9230,Norsn for gc chl syp test
G9231,Doc ESRD dia trans preg
G9232,Docrsn no comm comorb
G9240,Doc pt w cath maint dia
G9241,Doc pt w out cath maint dia
G9242,Doc viral load >=200
G9243,Doc viral load <200
G9246,No med visit in 24mo
G9247,1 med visit in 24mo
G9248,No med visit 6mo
G9249,Med visit w in 6mo
G9250,Doc of pain comfort 48hr
G9251,Doc no pain comfort 48hr
G9252,Neo detect scrn colo
G9253,No neo detect scrn colo
G9265,Doc cath >90d for maint dia
G9266,Norsn pt cath >=90d
G9267,Doc comp or mort w in 30d
G9268,Doc comp or mort w in 90d
G9269,Doc no comp or mort w in 30d
G9270,Doc no comp or mort w in 90d
G9271,LDL under 100
G9272,LDL 100 and over
G9273,Sys<140 and dia<90
G9274,BP out of nrml limits
G9275,Doc of non tobacco user
G9276,Doc of tobacco user
G9278,Doc no daily aspirin
G9279,Pne scrn done doc vac done
G9280,Pne not given norsn
G9281,Pne scrn done doc not ind
G9285,Site not small cell lung ca
G9295,Non cutaneous loc
G9299,No eval riskk VTE card prior
G9300,Doc medrsn no compl antibio
G9301,Doc compl inf antibio
G9302,Norsn incomp inf antibio
G9303,Norsn no pros info op rpt
G9304,Pros info op rpt
G9305,No interv req for leak
G9306,Interv req for leak
G9307,No ret for surg w in 30d
G9309,No unplnd hosp readm in 30d
G9310,Unplnd hosp readm in 30d
G9311,No surg site infection
G9312,Surgical site infection
G9313,Docrsn not first line amox
G9314,Norsn not first line amox
G9315,Doc first line amox
G9316,Doc comm risk calc
G9317,No doc comm risk calc
G9318,Image std nomenclature
G9319,Image not std nomenclature
G9321,Doc count of CT in 12mo
G9323,Mdrsn no doc cnt of CT
G9343,Medrsn no DICOM srch
G9346,No follow up pulm nod
G9347,No follow up pulm nod norsn
G9353,Medrsn >1 sinus CT w 90d dx
G9355,No early ind/delivery
G9356,Early ind/delivery
G9357,Pp eval/edu perf
G9358,Pp eval/edu not perf
G9359,Doc of neg or man pos TB scn
G9363,MAC or PNB w/o genanes <60m
G9364,Sinus caused bac infection
G9365,1 high-risk medication order
G9366,1 high-risk med not ordered
G9367,2 high-risk meds ordered
G9368,2 high-risk meds not ordered
G9380,Off assist EOL issues
G9381,Doc med reas no offer EOL
G9382,No off assist EOL
G9394,"Dx bipol, death, nhres, hosp"
G9399,Doc disc tx choices
G9400,Doc reas no disc tx opt
G9401,No disc tx choices
G9402,Recd f/u w/in 30 day dischar
G9403,Doc reas no 30 day f/u
G9404,No 30 day f/u
G9405,Recd f/u w/in 7 day discharg
G9406,Doc reas no 7 day f/u
G9407,No 7 day follow-up
G9408,Card tamp w/in 30 days
G9409,No card tamp w/in 30 days
G9414,1dose mening vacc btwn 11-13
G9415,No 1dose meni vac btwn 11-13
G9420,Spec site no lung
G9422,Rpt doc class histo type
G9423,Med reas rpt no histo type
G9424,Site no lung or lung cx
G9425,Spec rpt no doc class histo
G9426,Impr med time edarr pain med
G9427,No impro med time pain med
G9428,Rpt pT category and pT1
G9430,Spec site no cutaneous
G9431,No pT cat and pT1
G9449,Hx bld transf b/f 1992
G9450,Hx injec drug use
G9454,No HCV infection screen
G9457,No abd imag w/o reason
G9458,Tob user recd cess interv
G9459,Tobacco non-user
G9467,Recd cortico >=10mg/day >60d
G9468,No recd cortico>=10mg/d >60d
H0001,Alcohol and/or drug assess
H0002,Alcohol and/or drug screenin
H0003,Alcohol and/or drug screenin
H0004,Alcohol and/or drug services
H0005,Alcohol and/or drug services
H0006,Alcohol and/or drug services
H0007,Alcohol and/or drug services
H0008,Alcohol and/or drug services
H0009,Alcohol and/or drug services
H0010,Alcohol and/or drug services
H0011,Alcohol and/or drug services
H0012,Alcohol and/or drug services
H0013,Alcohol and/or drug services
H0014,Alcohol and/or drug services
H0015,Alcohol and/or drug services
H0016,Alcohol and/or drug services
H0017,Alcohol and/or drug services
H0018,Alcohol and/or drug services
H0019,Alcohol and/or drug services
H0020,Alcohol and/or drug services
H0021,Alcohol and/or drug training
H0022,Alcohol and/or drug interven
H0023,Alcohol and/or drug outreach
H0024,Alcohol and/or drug preventi
H0025,Alcohol and/or drug preventi
H0026,Alcohol and/or drug preventi
H0027,Alcohol and/or drug preventi
H0030,Alcohol and/or drug hotline
H0031,MH health assess by non-MD
H0032,MH svc plan dev by non-MD
H0033,Oral med adm direct observe
H0034,Med trng & support per 15min
H0035,MH partial hosp tx under 24h
H0036,Comm psy face-face per 15min
H0037,Comm psy sup tx pgm per diem
H0038,Self-help/peer svc per 15min
H0039,Asser com tx face-face/15min
H0040,Assert comm tx pgm per diem
H0041,Fos c chld non-ther per diem
H0042,Fos c chld non-ther per mon
H0043,"Supported housing, per diem"
H0044,"Supported housing, per month"
H0045,Respite not-in-home per diem
H0046,"Mental health service, NOS"
H0047,Alcohol/drug abuse svc NOS
H0048,Spec coll non-blood:a/d test
H0049,Alcohol/drug screening
H0050,Alcohol/drug service 15 min
H1000,Prenatal care atrisk assessm
H1001,Antepartum management
H1002,Carecoordination prenatal
H1003,Prenatal at risk education
H1004,Follow up home visit/prental
H1010,Nonmed family planning ed
H1011,Family assessment
H2000,Comp multidisipln evaluation
H2001,Rehabilitation program 1/2 d
H2010,Comprehensive med svc 15 min
H2011,"Crisis interven svc, 15 min"
H2012,"Behav hlth day treat, per hr"
H2013,"Psych hlth fac svc, per diem"
H2014,"Skills train and dev, 15 min"
H2015,"Comp comm supp svc, 15 min"
H2016,"Comp comm supp svc, per diem"
H2017,"Psysoc rehab svc, per 15 min"
H2018,"Psysoc rehab svc, per diem"
H2019,"Ther behav svc, per 15 min"
H2020,"Ther behav svc, per diem"
H2021,"Com wrap-around sv, 15 min"
H2022,"Com wrap-around sv, per diem"
H2023,"Supported employ, per 15 min"
H2024,"Supported employ, per diem"
H2025,"Supp maint employ, 15 min"
H2026,"Supp maint employ, per diem"
H2027,"Psychoed svc, per 15 min"
H2028,"Sex offend tx svc, 15 min"
H2029,"Sex offend tx svc, per diem"
H2030,"MH clubhouse svc, per 15 min"
H2031,"MH clubhouse svc, per diem"
H2032,"Activity therapy, per 15 min"
H2033,Multisys ther/juvenile 15min
H2034,"A/D halfway house, per diem"
H2035,"A/D tx program, per hour"
H2036,"A/D tx program, per diem"
H2037,"Dev delay prev dp ch, 15 min"
J0120,Tetracycline injection
J0130,Abciximab injection
J0131,Acetaminophen injection
J0132,Acetylcysteine injection
J0133,Acyclovir injection
J0135,Adalimumab injection
J0150,Injection adenosine 6 mg
J0151,Inj adenosine diag 1 mg
J0153,Adenosine inj 1 mg
J0171,Adrenalin epinephrine inject
J0178,Aflibercept injection
J0180,Agalsidase beta injection
J0190,Inj biperiden lactate/5 mg
J0200,Alatrofloxacin mesylate
J0205,Alglucerase injection
J0207,Amifostine
J0215,Alefacept
J0220,Alglucosidase alfa inj NOS
J0256,Alpha 1 proteinase inhibitor
J0278,Amikacin sulfate injection
J0280,Aminophylline 250 mg inj
J0282,Amiodarone HCl
J0290,Ampicillin 500 mg inj
J0295,Ampicillin sodium per 1.5 gm
J0300,Amobarbital 125 mg inj
J0330,Succinylcholine chloride inj
J0348,Anidulafungin injection
J0350,Injection anistreplase 30 u
J0364,Apomorphine hydrochloride
J0365,"Aprotonin, 10,000 kiu"
J0380,Inj metaraminol bitartrate
J0390,Chloroquine injection
J0400,Aripiprazole injection
J0401,Inj aripiprazole ext rel 1mg
J0456,Azithromycin
J0461,Atropine sulfate injection
J0470,Dimecaprol injection
J0475,Baclofen 10 mg injection
J0476,Baclofen intrathecal trial
J0480,Basiliximab
J0485,Belatacept injection
J0490,Belimumab injection
J0515,Inj benztropine mesylate
J0573,Buprenorphine/nalox 3.1-6 mg
J0583,Bivalirudin
J0592,Buprenorphine hydrochloride
J0595,Butorphanol tartrate 1 mg
J0597,"C-1 esterase, Berinert"
J0598,"C-1 esterase, Cinryze"
J0600,Edetate calcium disodium inj
J0610,Calcium gluconate injection
J0620,Calcium glycer & lact/10 ml
J0630,Calcitonin salmon injection
J0636,Inj calcitriol per 0.1 mcg
J0637,Caspofungin acetate
J0638,Canakinumab injection
J0640,Leucovorin calcium injection
J0641,Levoleucovorin injection
J0670,Inj mepivacaine HCl/10 ml
J0690,Cefazolin sodium injection
J0692,Cefepime HCl for injection
J0694,Cefoxitin sodium injection
J0696,Ceftriaxone sodium injection
J0697,Sterile cefuroxime injection
J0698,Cefotaxime sodium injection
J0702,Betamethasone acet&sod phosp
J0706,Caffeine citrate injection
J0710,Cephapirin sodium injection
J0712,Ceftaroline fosamil inj
J0713,Inj ceftazidime per 500 mg
J0715,Ceftizoxime sodium / 500 mg
J0716,Centruroides immune f(ab)
J0720,Chloramphenicol sodium injec
J0735,Clonidine hydrochloride
J0740,Cidofovir injection
J0743,Cilastatin sodium injection
J0744,Ciprofloxacin IV infusion
J0745,Inj codeine phosphate /30 mg
J0770,Colistimethate sodium inj
J0780,Prochlorperazine injection
J0795,Corticorelin ovine triflutal
J0800,Corticotropin injection
J0833,Cosyntropin injection nos
J0850,Cytomegalovirus imm IV /vial
J0878,Daptomycin injection
J0894,Decitabine injection
J0895,Deferoxamine mesylate inj
J0897,Denosumab injection
J0900,Testosterone enanthate inj
J0945,Brompheniramine maleate inj
J1000,Depo-estradiol cypionate inj
J1020,Methylprednisolone 20 mg inj
J1030,Methylprednisolone 40 mg inj
J1040,Methylprednisolone 80 mg inj
J1050,Medroxyprogesterone inj 1 mg
J1060,Testosterone cypionate 1 ML
J1070,Testosterone cypionat 100 mg
J1071,Inj testosterone cypionate
J1080,Testosterone cypionat 200 mg
J1094,Inj dexamethasone acetate
J1100,Dexamethasone sodium phos
J1110,Inj dihydroergotamine mesylt
J1120,Acetazolamide sodium inj
J1160,Digoxin injection
J1162,Digoxin immune fab (ovine)
J1165,Phenytoin sodium injection
J1170,Hydromorphone injection
J1180,Dyphylline injection
J1190,Dexrazoxane HCl injection
J1205,Chlorothiazide sodium inj
J1240,Dimenhydrinate injection
J1245,Dipyridamole injection
J1250,Inj dobutamine HCl/250 mg
J1260,Dolasetron mesylate
J1267,Doripenem injection
J1270,"Injection, doxercalciferol"
J1290,Ecallantide injection
J1300,Eculizumab injection
J1322,"Elosulfase alfa, injection"
J1324,Enfuvirtide injection
J1325,Epoprostenol injection
J1327,Eptifibatide injection
J1330,Ergonovine maleate injection
J1335,Ertapenem injection
J1364,Erythro lactobionate /500 mg
J1380,Estradiol valerate 10 mg inj
J1410,Inj estrogen conjugate 25 mg
J1430,Ethanolamine oleate 100 mg
J1435,Injection estrone per 1 mg
J1436,Etidronate disodium inj
J1439,Inj ferric carboxymaltose
J1450,Fluconazole
J1451,"Fomepizole, 15 mg"
J1452,Intraocular fomivirsen Na
J1453,Fosaprepitant injection
J1455,Foscarnet sodium injection
J1457,Gallium nitrate injection
J1458,Galsulfase injection
J1460,Gamma globulin 1 cc inj
J1560,Gamma globulin > 10 cc inj
J1569,Gammagard liquid injection
J1570,Ganciclovir sodium injection
J1580,Garamycin gentamicin inj
J1595,Injection glatiramer acetate
J1600,Gold sodium thiomaleate inj
J1602,Golimumab for iv use 1mg
J1610,Glucagon hydrochloride/1 mg
J1620,Gonadorelin hydroch/ 100 mcg
J1626,Granisetron HCl injection
J1630,Haloperidol injection
J1631,Haloperidol decanoate inj
J1640,"Hemin, 1 mg"
J1642,Inj heparin sodium per 10 u
J1644,Inj heparin sodium per 1000u
J1650,Inj enoxaparin sodium
J1652,Fondaparinux sodium
J1670,Tetanus immune globulin inj
J1675,Histrelin acetate
J1700,Hydrocortisone acetate inj
J1710,Hydrocortisone sodium ph inj
J1720,Hydrocortisone sodium succ i
J1725,Hydroxyprogesterone caproate
J1730,Diazoxide injection
J1740,Ibandronate sodium injection
J1741,Ibuprofen injection
J1742,Ibutilide fumarate injection
J1743,Idursulfase injection
J1744,Icatibant injection
J1750,Inj iron dextran
J1756,Iron sucrose injection
J1786,Imiglucerase injection
J1790,Droperidol injection
J1810,Droperidol/fentanyl inj
J1815,Insulin injection
J1826,Interferon beta-1a inj
J1835,Itraconazole injection
J1840,Kanamycin sulfate 500 mg inj
J1850,Kanamycin sulfate 75 mg inj
J1885,Ketorolac tromethamine inj
J1890,Cephalothin sodium injection
J1930,Lanreotide injection
J1931,Laronidase injection
J1940,Furosemide injection
J1945,Lepirudin
J1950,Leuprolide acetate /3.75 mg
J1953,Levetiracetam injection
J1955,Inj levocarnitine per 1 gm
J1956,Levofloxacin injection
J1960,Levorphanol tartrate inj
J1980,Hyoscyamine sulfate inj
J2020,Linezolid injection
J2060,Lorazepam injection
J2150,Mannitol injection
J2170,Mecasermin injection
J2175,Meperidine hydrochl /100 mg
J2185,Meropenem
J2210,Methylergonovine maleate inj
J2212,Methylnaltrexone injection
J2248,Micafungin sodium injection
J2250,Inj midazolam hydrochloride
J2260,Inj milrinone lactate / 5 mg
J2265,Minocycline hydrochloride
J2270,Morphine sulfate injection
J2271,Morphine SO4 injection 100mg
J2274,In morphine preservativ free
J2275,Morphine sulfate injection
J2278,Ziconotide injection
J2280,"Inj, moxifloxacin 100 mg"
J2300,Inj nalbuphine hydrochloride
J2310,Inj naloxone hydrochloride
J2315,"Naltrexone, depot form"
J2320,Nandrolone decanoate 50 mg
J2323,Natalizumab injection
J2325,Nesiritide injection
J2353,"Octreotide injection, depot"
J2354,"Octreotide inj, non-depot"
J2355,Oprelvekin injection
J2357,Omalizumab injection
J2358,Olanzapine long-acting inj
J2360,Orphenadrine injection
J2400,Chloroprocaine HCl injection
J2405,Ondansetron HCl injection
J2425,Palifermin injection
J2426,Paliperidone palmitate inj
J2430,Pamidronate disodium /30 mg
J2501,Paricalcitol
J2503,Pegaptanib sodium injection
J2505,"Injection, pegfilgrastim 6mg"
J2507,Pegloticase injection
J2513,Pentastarch 10% solution
J2515,Pentobarbital sodium inj
J2543,Piperacillin/tazobactam
J2560,Phenobarbital sodium inj
J2562,Plerixafor injection
J2590,Oxytocin injection
J2597,Inj desmopressin acetate
J2650,Prednisolone acetate inj
J2675,Inj progesterone per 50 mg
J2680,Fluphenazine decanoate 25 mg
J2700,Oxacillin sodium injection
J2704,"Inj, propofol, 10 mg"
J2710,Neostigmine methylslfte inj
J2720,Inj protamine sulfate/10 mg
J2725,Inj protirelin per 250 mcg
J2730,Pralidoxime chloride inj
J2760,Phentolamine mesylate inj
J2770,Quinupristin/dalfopristin
J2778,Ranibizumab injection
J2780,Ranitidine hydrochloride inj
J2783,Rasburicase
J2785,Regadenoson injection
J2793,Rilonacept injection
J2794,"Risperidone, long acting"
J2795,Ropivacaine HCl injection
J2796,Romiplostim injection
J2800,Methocarbamol injection
J2805,Sincalide injection
J2810,Inj theophylline per 40 mg
J2850,Inj secretin synthetic human
J2910,Aurothioglucose injection
J2916,Na ferric gluconate complex
J2920,Methylprednisolone injection
J2930,Methylprednisolone injection
J2940,Somatrem injection
J2941,Somatropin injection
J2993,Reteplase injection
J2997,Alteplase recombinant
J3000,Streptomycin injection
J3010,Fentanyl citrate injection
J3060,"Inj, taliglucerase alfa 10 u"
J3070,Pentazocine injection
J3095,Telavancin injection
J3101,Tenecteplase injection
J3105,Terbutaline sulfate inj
J3110,Teriparatide injection
J3120,Testosterone enanthate inj
